week,search_query,search_query_score,search_quey_volume,imp_total_count,imp_ASIN_count,imp_ASIN_share,clk_total_count,clk_click_rate,clk_ASIN_count,clk_ASIN_share,cart_total_count,cart_add_rate,cart_ASIN_count,cart_ASIN_share,pur_total_count,pur_purchase_rate,pur_ASIN_count,pur_ASIN_share
Week 51,sensory toys for autistic teenagers,27,214,4787,118,2.47,74,34.58,7,9.46,16,7.48,4,25,8,3.74,3,37.5
Week 51,autistic toddler toys age 2-4,28,5293,109919,621,0.56,1703,32.17,12,0.7,483,9.13,4,0.83,163,3.08,2,1.23
Week 51,stretch toys,29,1056,23750,500,2.11,357,33.81,7,1.96,80,7.58,5,6.25,35,3.31,2,5.71
Week 51,autism toys for toddlers 3-4,30,13647,281433,834,0.3,4516,33.09,6,0.13,1328,9.73,3,0.23,412,3.02,2,0.49
Week 51,sensory gifts for autism,31,191,3924,67,1.71,28,14.66,4,14.29,9,4.71,3,33.33,6,3.14,3,50
Week 51,down syndrome toys,32,673,15652,298,1.9,193,28.68,11,5.7,33,4.9,3,9.09,17,2.53,2,11.76
Week 51,stretchy toys,33,3141,69155,1576,2.28,956,30.44,11,1.15,262,8.34,3,1.15,75,2.39,0,0
Week 51,teeter popper,34,4147,95126,1016,1.07,1131,27.27,12,1.06,227,5.47,5,2.2,39,0.94,0,0
Week 51,toys for boys age 8-12 autistic sensory,35,73,1595,29,1.82,30,41.1,6,20,11,15.07,4,36.36,3,4.11,2,66.67
Week 51,toys for special needs children,36,1290,29479,210,0.71,323,25.04,6,1.86,92,7.13,3,3.26,44,3.41,2,4.55
Week 51,disabled products for adults,37,3059,70402,664,0.94,629,20.56,9,1.43,167,5.46,3,1.8,27,0.88,1,3.7
Week 51,toddler sensory toys,38,3397,72683,511,0.7,1022,30.09,5,0.49,298,8.77,4,1.34,66,1.94,1,1.52
Week 51,toys for autistic boys,39,605,14127,151,1.07,192,31.74,4,2.08,34,5.62,2,5.88,17,2.81,2,11.76
Week 51,toys for adults,40,16254,292547,808,0.28,2060,12.67,5,0.24,327,2.01,2,0.61,117,0.72,1,0.85
Week 51,autistic toys for girls 5-7,41,1200,25223,217,0.86,380,31.67,5,1.32,131,10.92,4,3.05,45,3.75,1,2.22
Week 51,sensory toys for toddlers,42,1591,36034,596,1.65,441,27.72,8,1.81,95,5.97,2,2.11,27,1.7,1,3.7
Week 51,stretchy sensory toys,43,118,2551,76,2.98,60,50.85,3,5,24,20.34,2,8.33,9,7.63,2,22.22
Week 51,stretchy strings fidget toys,44,268,6358,102,1.6,120,44.78,2,1.67,41,15.3,2,4.88,18,6.72,2,11.11
Week 51,oodles of noodles toy,45,18,383,23,6.01,9,50,4,44.44,3,16.67,2,66.67,2,11.11,2,100
Week 51,stretchy fidget toy,46,571,12075,368,3.05,221,38.7,5,2.26,91,15.94,3,3.3,31,5.43,1,3.23
Week 51,juguetes para ni̱os con autismo,47,1536,30680,448,1.46,545,35.48,7,1.28,90,5.86,2,2.22,17,1.11,1,5.88
Week 51,great gifts for special needs adults,48,808,17596,378,2.15,134,16.58,7,5.22,24,2.97,2,8.33,10,1.24,1,10
Week 51,string toys for toddlers 1-3,49,105,2066,83,4.02,50,47.62,6,12,15,14.29,3,20,4,3.81,1,25
Week 51,sensory strings,50,118,2444,80,3.27,57,48.31,6,10.53,22,18.64,3,13.64,9,7.63,1,11.11
Week 51,autism,51,9212,208213,1038,0.5,2191,23.78,6,0.27,542,5.88,2,0.37,164,1.78,0,0
Week 51,sensory toy,52,3357,75628,280,0.37,840,25.02,7,0.83,185,5.51,2,1.08,54,1.61,1,1.85
Week 51,autism sensory toys for kids 5-7,53,897,19846,298,1.5,274,30.55,5,1.82,54,6.02,2,3.7,13,1.45,1,7.69
Week 51,toddler chew toys,54,419,9374,232,2.47,115,27.45,6,5.22,34,8.11,2,5.88,19,4.53,1,5.26
Week 51,autism toys for kids 5-7 non verbal,55,660,14331,340,2.37,174,26.36,3,1.72,49,7.42,2,4.08,20,3.03,1,5
Week 51,sensory blankets for autistic children,56,379,8315,78,0.94,110,29.02,3,2.73,17,4.49,3,17.65,5,1.32,1,20
Week 51,toys under 10 dollars,57,29460,606562,1376,0.23,7265,24.66,7,0.1,2844,9.65,0,0,781,2.65,0,0
Week 51,gifts for kids with down syndrome,58,847,17558,418,2.38,191,22.55,12,6.28,42,4.96,3,7.14,15,1.77,0,0
Week 51,occupational therapy toys,59,3044,68486,238,0.35,921,30.26,3,0.33,330,10.84,2,0.61,60,1.97,1,1.67
Week 51,vibrator adult sensory toys,60,3416,55592,1313,2.36,433,12.68,6,1.39,33,0.97,0,0,4,0.12,0,0
Week 51,angelman syndrome toys,61,257,5857,129,2.2,78,30.35,5,6.41,14,5.45,2,14.29,6,2.33,1,16.67
Week 51,sensory toys autism,62,362,7983,148,1.85,94,25.97,3,3.19,26,7.18,2,7.69,14,3.87,1,7.14
Week 51,monkey noodles,63,4213,96055,80,0.08,1747,41.47,4,0.23,670,15.9,2,0.3,270,6.41,1,0.37
Week 51,disabled kids toys,64,300,4930,109,2.21,54,18,3,5.56,20,6.67,2,10,4,1.33,1,25
Week 51,sensory toys for autistic children 5-7,65,806,18499,347,1.88,248,30.77,3,1.21,57,7.07,1,1.75,13,1.61,1,7.69
Week 51,bunmo 6pk textured noodle sensory toys,66,12,382,12,3.14,8,66.67,5,62.5,2,16.67,2,100,1,8.33,1,100
Week 51,stretchy strings,67,149,3817,105,2.75,62,41.61,2,3.23,24,16.11,2,8.33,11,7.38,1,9.09
Week 51,autism friendly toys,68,199,4931,82,1.66,57,28.64,2,3.51,13,6.53,2,15.38,10,5.03,1,10
Week 51,toys for toddlers with autism,69,206,4596,79,1.72,54,26.21,2,3.7,22,10.68,2,9.09,6,2.91,1,16.67
