week,search_query,search_query_score,search_quey_volume,imp_total_count,imp_ASIN_count,imp_ASIN_share,clk_total_count,clk_click_rate,clk_ASIN_count,clk_ASIN_share,cart_total_count,cart_add_rate,cart_ASIN_count,cart_ASIN_share,pur_total_count,pur_purchase_rate,pur_ASIN_count,pur_ASIN_share
Week 49,toys that make noise,67,996,22454,274,0.0122,235,0.2359,1,0.0043,75,0.0753,1,0.0133,20,0.0201,1,0.05
Week 49,oral sensory toys,68,470,11112,183,0.0165,174,0.3702,3,0.0172,55,0.117,1,0.0182,15,0.0319,1,0.0667
Week 49,non verbal autism toys,69,429,9714,275,0.0283,145,0.338,5,0.0345,39,0.0909,3,0.0769,11,0.0256,0,0
Week 49,sensory chew toys,70,1663,36633,271,0.0074,552,0.3319,5,0.0091,211,0.1269,3,0.0142,75,0.0451,0,0
Week 49,quiet fidget toys,71,2931,68593,159,0.0023,1033,0.3524,2,0.0019,272,0.0928,1,0.0037,71,0.0242,1,0.0141
Week 49,autism sensory products for adults,72,557,13063,157,0.012,113,0.2029,2,0.0177,28,0.0503,1,0.0357,7,0.0126,1,0.1429
Week 49,toys for kids with disabilities,73,910,20378,151,0.0074,167,0.1835,2,0.012,38,0.0418,1,0.0263,15,0.0165,1,0.0667
Week 49,spinning toys for kids with autism,74,1251,28183,176,0.0062,356,0.2846,1,0.0028,107,0.0855,1,0.0093,28,0.0224,1,0.0357
Week 49,sensory toys for autistic children 10-12,75,2735,70269,134,0.0019,820,0.2998,2,0.0024,190,0.0695,1,0.0053,46,0.0168,1,0.0217
Week 49,large sensory toys,76,354,7291,150,0.0206,72,0.2034,1,0.0139,16,0.0452,1,0.0625,6,0.0169,1,0.1667
Week 49,toys for non verbal autistic kids,77,194,7639,111,0.0145,43,0.2216,2,0.0465,7,0.0361,1,0.1429,2,0.0103,1,0.5
Week 49,calming sensory toys,78,506,12503,145,0.0116,169,0.334,1,0.0059,47,0.0929,1,0.0213,13,0.0257,1,0.0769
Week 49,sensory toys for autism,79,582,13864,128,0.0092,225,0.3866,1,0.0044,45,0.0773,1,0.0222,9,0.0155,1,0.1111
Week 49,stimulation toys for toddlers,80,156,3846,80,0.0208,53,0.3397,2,0.0377,19,0.1218,1,0.0526,3,0.0192,1,0.3333
Week 49,games for autistic teenager,81,232,5009,75,0.015,77,0.3319,2,0.026,8,0.0345,1,0.125,4,0.0172,1,0.25
Week 49,b082d7wvt8,82,3,27,3,0.1111,3,1,3,1,1,0.3333,1,1,1,0.3333,1,1
Week 49,fidget toys for autistic adults,83,71,2070,37,0.0179,21,0.2958,2,0.0952,5,0.0704,1,0.2,3,0.0423,1,0.3333
Week 49,spin disc sensory autism,84,230,4823,71,0.0147,64,0.2783,1,0.0156,16,0.0696,1,0.0625,1,0.0043,1,1
Week 49,stretchy strings,85,210,5457,70,0.0128,79,0.3762,1,0.0127,31,0.1476,1,0.0323,9,0.0429,1,0.1111
Week 49,bunmo fidget toys,86,85,2386,66,0.0277,36,0.4235,1,0.0278,16,0.1882,1,0.0625,7,0.0824,1,0.1429
Week 49,fidget toys autism,87,259,6317,178,0.0282,97,0.3745,3,0.0309,23,0.0888,3,0.1304,7,0.027,0,0
Week 49,occupational therapy toys,88,5951,140902,286,0.002,1678,0.282,7,0.0042,596,0.1002,2,0.0034,71,0.0119,0,0
Week 49,sensory toys down syndrome,89,34,974,21,0.0216,15,0.4412,2,0.1333,4,0.1176,1,0.25,2,0.0588,1,0.5
Week 49,calm toys,90,120,2722,54,0.0198,34,0.2833,1,0.0294,9,0.075,1,0.1111,1,0.0083,1,1
Week 49,sensory rope,91,25,598,17,0.0284,6,0.24,2,0.3333,2,0.08,1,0.5,1,0.04,1,1
Week 49,adult autistic gifts,92,68,1372,14,0.0102,21,0.3088,2,0.0952,6,0.0882,1,0.1667,3,0.0441,1,0.3333
Week 49,sensory toys that vibrates autism,93,108,2956,51,0.0173,40,0.3704,1,0.025,8,0.0741,1,0.125,4,0.037,1,0.25
Week 49,disability toys for kids,94,272,6472,50,0.0077,80,0.2941,1,0.0125,41,0.1507,1,0.0244,3,0.011,1,0.3333
Week 49,fidget string,95,131,2719,50,0.0184,42,0.3206,1,0.0238,12,0.0916,1,0.0833,4,0.0305,1,0.25
Week 49,sensory stretch toys,96,21,686,13,0.019,14,0.6667,2,0.1429,4,0.1905,1,0.25,2,0.0952,1,0.5
Week 49,iq stixx,97,74,2936,49,0.0167,52,0.7027,1,0.0192,16,0.2162,1,0.0625,5,0.0676,1,0.2
Week 49,rough sensory toys,98,15,527,12,0.0228,5,0.3333,2,0.4,2,0.1333,1,0.5,1,0.0667,1,1
Week 49,emma wiggles toys,99,21,515,10,0.0194,8,0.381,2,0.25,3,0.1429,1,0.3333,1,0.0476,1,1
Week 49,stretchy baby toys,100,17,410,10,0.0244,4,0.2353,2,0.5,1,0.0588,1,1,1,0.0588,1,1
Week 48,sensory toys,1,139547,3116816,33855,0.0109,37415,0.2681,309,0.0083,11245,0.0806,164,0.0146,2388,0.0171,43,0.018
Week 48,sensory toys for autistic children,2,100467,2193707,24291,0.0111,31186,0.3104,199,0.0064,9378,0.0933,93,0.0099,2109,0.021,33,0.0156
Week 48,bunmo sensory toys,3,1021,24938,1307,0.0524,517,0.5064,44,0.0851,198,0.1939,20,0.101,86,0.0842,5,0.0581
Week 48,autistic toys for boys 5-7,4,12921,286200,2065,0.0072,3938,0.3048,34,0.0086,1103,0.0854,21,0.019,284,0.022,4,0.0141
Week 48,toys for autistic children age 5-7,5,14883,336863,1479,0.0044,4490,0.3017,17,0.0038,1199,0.0806,9,0.0075,322,0.0216,3,0.0093
Week 48,best gifts for autistic teenager,6,3973,93581,981,0.0105,1009,0.254,14,0.0139,179,0.0451,7,0.0391,46,0.0116,4,0.087
Week 48,down syndrome gifts for kids,7,2476,54807,889,0.0162,629,0.254,17,0.027,158,0.0638,10,0.0633,40,0.0162,1,0.025
Week 48,bunmo 6pk textured noodle sensory toys,8,14,593,24,0.0405,13,0.9286,8,0.6154,11,0.7857,8,0.7273,5,0.3571,3,0.6
Week 48,special needs toys for teens,9,2294,40800,569,0.0139,398,0.1735,10,0.0251,129,0.0562,4,0.031,35,0.0153,3,0.0857
Week 48,autistic toddler toys age 2-4,10,9467,199283,668,0.0034,3201,0.3381,12,0.0037,1035,0.1093,5,0.0048,240,0.0254,2,0.0083
Week 48,toddler sensory toys age 1-2,11,2460,51709,262,0.0051,795,0.3232,9,0.0113,273,0.111,6,0.022,59,0.024,2,0.0339
Week 48,sensory noodles fidget stretch toys,12,114,2380,92,0.0387,48,0.4211,9,0.1875,19,0.1667,6,0.3158,9,0.0789,2,0.2222
Week 48,b082d7wvt8,13,7,79,7,0.0886,7,1,7,1,3,0.4286,3,1,3,0.4286,3,1
Week 48,teeter popper,14,9209,206190,335,0.0016,4297,0.4666,5,0.0012,1172,0.1273,4,0.0034,192,0.0208,2,0.0104
Week 48,autism sensory toys,16,37013,796863,1508,0.0019,10559,0.2853,10,0.0009,3286,0.0888,3,0.0009,666,0.018,0,0
Week 48,toys for kids with cerebral palsy,17,485,10917,191,0.0175,131,0.2701,5,0.0382,42,0.0866,3,0.0714,6,0.0124,2,0.3333
Week 48,autism toys,18,23463,508965,1575,0.0031,6160,0.2625,5,0.0008,1746,0.0744,3,0.0017,314,0.0134,0,0
Week 48,sensory toys for autistic children 5-7,19,1322,29266,337,0.0115,398,0.3011,5,0.0126,119,0.09,5,0.042,26,0.0197,1,0.0385
Week 48,sensory toys for autistic adults,20,1128,27575,545,0.0198,300,0.266,6,0.02,87,0.0771,4,0.046,23,0.0204,1,0.0435
Week 48,gifts for kids with down syndrome,21,874,18274,331,0.0181,174,0.1991,8,0.046,42,0.0481,4,0.0952,10,0.0114,1,0.1
Week 48,autism sensory products,22,7175,158789,999,0.0063,1872,0.2609,8,0.0043,427,0.0595,4,0.0094,47,0.0066,0,0
Week 48,bunmo 6 pk textured noodle sensory toys,23,4,228,4,0.0175,3,0.75,3,1,3,0.75,3,1,2,0.5,2,1
Week 48,super sensory toys,24,10,274,4,0.0146,4,0.4,3,0.75,3,0.3,3,1,2,0.2,2,1
Week 48,sensory toy,25,4682,110299,397,0.0036,1065,0.2275,9,0.0085,333,0.0711,3,0.009,82,0.0175,1,0.0122
Week 48,tactile toys,26,401,11504,204,0.0177,112,0.2793,2,0.0179,28,0.0698,2,0.0714,7,0.0175,2,0.2857
Week 48,sensory noodles,27,551,12342,229,0.0186,247,0.4483,5,0.0202,93,0.1688,4,0.043,30,0.0544,1,0.0333
Week 48,sensory toys for kids 5-7,28,33539,723028,800,0.0011,9864,0.2941,2,0.0002,3041,0.0907,2,0.0007,629,0.0188,1,0.0016
Week 48,stretchy fidget toys,29,97,3181,49,0.0154,36,0.3711,3,0.0833,16,0.1649,2,0.125,4,0.0412,2,0.5
Week 48,autism chew toys sensory,30,1585,35284,438,0.0124,504,0.318,4,0.0079,242,0.1527,3,0.0124,79,0.0498,1,0.0127
Week 48,z vibe,31,932,21408,380,0.0178,354,0.3798,3,0.0085,97,0.1041,3,0.0309,23,0.0247,1,0.0435
Week 48,toys for autistic boys 8-12,32,432,9863,51,0.0052,105,0.2431,4,0.0381,31,0.0718,4,0.129,11,0.0255,1,0.0909
Week 48,gifts for kids with disabilities,33,1335,28625,368,0.0129,231,0.173,6,0.026,54,0.0404,2,0.037,14,0.0105,1,0.0714
Week 48,non verbal autism toys,34,422,9036,165,0.0183,112,0.2654,4,0.0357,28,0.0664,3,0.1071,3,0.0071,1,0.3333
Week 48,vibrator adult sensory toys,35,6521,103412,1440,0.0139,756,0.1159,8,0.0106,74,0.0113,0,0,18,0.0028,0,0
Week 48,toys for special needs children 3-5,36,556,12446,61,0.0049,118,0.2122,5,0.0424,27,0.0486,3,0.1111,9,0.0162,1,0.1111
Week 48,sensory items,37,1649,46830,372,0.0079,423,0.2565,3,0.0071,129,0.0782,2,0.0155,31,0.0188,1,0.0323
Week 48,textured noodle sensory toys,38,17,420,28,0.0667,8,0.4706,4,0.5,5,0.2941,3,0.6,1,0.0588,1,1
Week 48,stretchy worms,39,82,1860,55,0.0296,39,0.4756,3,0.0769,20,0.2439,3,0.15,7,0.0854,1,0.1429
Week 48,sensory chew toys,40,1732,39186,306,0.0078,552,0.3187,7,0.0127,237,0.1368,4,0.0169,66,0.0381,0,0
Week 48,toddler fidget toys age 2-4,41,1148,24675,325,0.0132,402,0.3502,6,0.0149,108,0.0941,4,0.037,19,0.0166,0,0
Week 48,cerebral palsy toys,42,2474,52884,540,0.0102,628,0.2538,6,0.0096,156,0.0631,3,0.0192,30,0.0121,0,0
Week 48,stimming toys for autism kids,43,772,15960,455,0.0285,166,0.215,2,0.012,50,0.0648,1,0.02,9,0.0117,1,0.1111
Week 48,disabled products for adults,44,3858,90192,558,0.0062,760,0.197,11,0.0145,214,0.0555,2,0.0093,22,0.0057,0,0
Week 48,gifts for people with autism,45,413,9181,163,0.0178,72,0.1743,2,0.0278,14,0.0339,2,0.1429,1,0.0024,1,1
Week 48,fidget toys for kids 8-12,46,32803,760796,217,0.0003,10993,0.3351,6,0.0005,3281,0.1,1,0.0003,1067,0.0325,1,0.0009
Week 48,chew toys for kids sensory,47,582,12700,105,0.0083,195,0.3351,2,0.0103,86,0.1478,2,0.0233,28,0.0481,1,0.0357
Week 48,toys for special needs children 5-7,48,564,13760,71,0.0052,151,0.2677,2,0.0132,35,0.0621,2,0.0571,14,0.0248,1,0.0714
Week 48,stretchy toys,49,5579,124972,245,0.002,1765,0.3164,4,0.0023,510,0.0914,1,0.002,120,0.0215,1,0.0083
Week 48,textured sensory toys,50,85,2052,52,0.0253,30,0.3529,2,0.0667,12,0.1412,2,0.1667,3,0.0353,1,0.3333
Week 48,down syndrome toys,51,1232,29563,407,0.0138,294,0.2386,4,0.0136,77,0.0625,3,0.039,10,0.0081,0,0
Week 48,3d pin art toy,52,1223,28225,23,0.0008,489,0.3998,2,0.0041,169,0.1382,2,0.0118,51,0.0417,1,0.0196
Week 48,sensory toys bunmo,53,8,193,7,0.0363,6,0.75,2,0.3333,4,0.5,2,0.5,2,0.25,1,0.5
Week 48,fidget toys,54,437899,10329594,838,0.0001,135242,0.3088,4,0,39915,0.0912,1,0,10596,0.0242,0,0
Week 48,oodles of noodles fidget toy,55,296,6738,225,0.0334,102,0.3446,1,0.0098,31,0.1047,1,0.0323,11,0.0372,1,0.0909
Week 48,sensory,56,18740,416993,576,0.0014,4636,0.2474,3,0.0006,1328,0.0709,2,0.0015,201,0.0107,0,0
Week 48,stretchy noodles,57,211,5398,142,0.0263,87,0.4123,2,0.023,50,0.237,1,0.02,17,0.0806,1,0.0588
Week 48,jacobs ladder toys,58,678,16733,161,0.0096,324,0.4779,1,0.0031,132,0.1947,1,0.0076,42,0.0619,1,0.0238
Week 48,fidget toys autism,59,254,5712,149,0.0261,58,0.2283,1,0.0172,14,0.0551,1,0.0714,6,0.0236,1,0.1667
Week 48,textured silly stretchy strings,60,46,996,75,0.0753,25,0.5435,3,0.12,5,0.1087,1,0.2,2,0.0435,1,0.5
Week 48,toys for toddlers with autism,61,344,7347,64,0.0087,112,0.3256,3,0.0268,44,0.1279,1,0.0227,14,0.0407,1,0.0714
Week 48,toys for special needs teenager,62,612,14440,100,0.0069,141,0.2304,2,0.0142,34,0.0556,1,0.0294,11,0.018,1,0.0909
Week 48,autism teenager toys,63,280,7425,129,0.0174,87,0.3107,1,0.0115,20,0.0714,1,0.05,4,0.0143,1,0.25
Week 48,cerebral palsy equipment,64,516,10984,53,0.0048,119,0.2306,3,0.0252,25,0.0484,1,0.04,4,0.0078,1,0.25
Week 48,older kids toys,65,1328,27926,202,0.0072,190,0.1431,4,0.0211,58,0.0437,3,0.0517,13,0.0098,0,0
Week 48,large sensory toys,66,175,3957,67,0.0169,25,0.1429,2,0.08,4,0.0229,1,0.25,1,0.0057,1,1
Week 48,light up sensory toys,67,1190,28731,66,0.0023,340,0.2857,2,0.0059,109,0.0916,1,0.0092,26,0.0218,1,0.0385
Week 48,calming sensory toys,68,378,10123,97,0.0096,114,0.3016,1,0.0088,42,0.1111,1,0.0238,7,0.0185,1,0.1429
Week 48,texture toys,69,393,8950,89,0.0099,98,0.2494,1,0.0102,24,0.0611,1,0.0417,7,0.0178,1,0.1429
Week 48,bunmo shorties sensory toys monkey noodles,70,50,971,44,0.0453,45,0.9,2,0.0444,20,0.4,1,0.05,14,0.28,1,0.0714
Week 48,ot toys for kids 5-7,71,246,4998,76,0.0152,67,0.2724,1,0.0149,31,0.126,1,0.0323,5,0.0203,1,0.2
Week 48,gifts for special needs teenagers,72,371,8094,63,0.0078,49,0.1321,1,0.0204,10,0.027,1,0.1,3,0.0081,1,0.3333
Week 48,autistic toys for girls 5-7,73,1815,42165,138,0.0033,505,0.2782,4,0.0079,156,0.086,3,0.0192,38,0.0209,0,0
Week 48,calming sensory toys for toddlers,74,19,566,21,0.0371,5,0.2632,2,0.4,1,0.0526,1,1,1,0.0526,1,1
Week 48,bunmo stretchy strings,75,21,429,18,0.042,12,0.5714,2,0.1667,5,0.2381,1,0.2,4,0.1905,1,0.25
Week 48,fidget chew toys for sensory kids,76,187,3897,54,0.0139,49,0.262,1,0.0204,24,0.1283,1,0.0417,10,0.0535,1,0.1
Week 48,noodles sensory toy,77,44,1139,54,0.0474,17,0.3864,1,0.0588,7,0.1591,1,0.1429,3,0.0682,1,0.3333
Week 48,bunmo textured noodle,78,6,114,10,0.0877,4,0.6667,2,0.5,1,0.1667,1,1,1,0.1667,1,1
Week 48,sensory ropes for babies,79,3,99,5,0.0505,3,1,2,0.6667,1,0.3333,1,1,1,0.3333,1,1
Week 48,sensory toys wiggle worm,80,3,180,5,0.0278,3,1,2,0.6667,1,0.3333,1,1,1,0.3333,1,1
Week 48,adult autism toys,81,118,2498,40,0.016,28,0.2373,1,0.0357,11,0.0932,1,0.0909,2,0.0169,1,0.5
Week 48,bunmo stretchy worms,82,2,110,3,0.0273,4,2,2,0.5,1,0.5,1,1,1,0.5,1,1
Week 48,fidget toys for toddlers 1-3,83,5861,125940,40,0.0003,2057,0.351,1,0.0005,671,0.1145,1,0.0015,159,0.0271,1,0.0063
Week 48,boys sensory toys autism,84,87,2284,36,0.0158,36,0.4138,1,0.0278,13,0.1494,1,0.0769,5,0.0575,1,0.2
Week 48,sensory toys for visually impaired children,85,58,1453,36,0.0248,21,0.3621,1,0.0476,12,0.2069,1,0.0833,7,0.1207,1,0.1429
Week 48,social emotional games,86,298,8642,35,0.004,127,0.4262,1,0.0079,37,0.1242,1,0.027,7,0.0235,1,0.1429
Week 48,sensory for autistic adults,87,230,5895,34,0.0058,54,0.2348,1,0.0185,15,0.0652,1,0.0667,3,0.013,1,0.3333
Week 48,sensory toys for middle school students,88,47,1870,31,0.0166,17,0.3617,1,0.0588,6,0.1277,1,0.1667,2,0.0426,1,0.5
Week 48,sensory toys for disabled adults,89,79,1630,30,0.0184,14,0.1772,1,0.0714,3,0.038,1,0.3333,1,0.0127,1,1
Week 48,noodle sensory toys,90,23,555,27,0.0486,15,0.6522,1,0.0667,5,0.2174,1,0.2,1,0.0435,1,1
Week 48,stretchy string sensory toys,91,32,564,27,0.0479,4,0.125,1,0.25,3,0.0938,1,0.3333,1,0.0313,1,1
Week 48,toys for autistic boys age 5-7,92,693,16627,27,0.0016,218,0.3146,1,0.0046,57,0.0823,1,0.0175,22,0.0317,1,0.0455
Week 48,toys for non verbal autistic children age 8-10,93,135,3267,22,0.0067,39,0.2889,1,0.0256,7,0.0519,1,0.1429,2,0.0148,1,0.5
Week 48,anxiety relief for kids toys,94,99,2147,20,0.0093,27,0.2727,1,0.037,7,0.0707,1,0.1429,2,0.0202,1,0.5
Week 48,bunmo toys,95,21,524,19,0.0363,11,0.5238,1,0.0909,3,0.1429,1,0.3333,3,0.1429,1,0.3333
Week 48,children fidget toys,96,34,694,19,0.0274,15,0.4412,1,0.0667,7,0.2059,1,0.1429,3,0.0882,1,0.3333
Week 48,indestructible toys for kids,97,432,9642,19,0.002,82,0.1898,1,0.0122,21,0.0486,1,0.0476,8,0.0185,1,0.125
Week 48,sensory chews,98,260,6781,18,0.0027,91,0.35,1,0.011,45,0.1731,1,0.0222,10,0.0385,1,0.1
Week 48,sensory toys for autistic babies calming,99,28,532,18,0.0338,9,0.3214,1,0.1111,3,0.1071,1,0.3333,2,0.0714,1,0.5
Week 48,oodles of noodles fidget,100,22,410,17,0.0415,11,0.5,1,0.0909,5,0.2273,1,0.2,2,0.0909,1,0.5
Week 47,sensory toys,1,134471,2911017,32380,0.0111,35962,0.2674,304,0.0085,10877,0.0809,155,0.0143,2000,0.0149,42,0.021
Week 47,sensory toys for autistic children,2,89512,1904225,17351,0.0091,28711,0.3208,239,0.0083,8254,0.0922,134,0.0162,1602,0.0179,34,0.0212
Week 47,autistic toys for boys 5-7,3,10431,223375,2352,0.0105,3307,0.317,34,0.0103,946,0.0907,20,0.0211,229,0.022,7,0.0306
Week 47,fidget toys,4,420612,9736290,3261,0.0003,129665,0.3083,47,0.0004,38207,0.0908,19,0.0005,8220,0.0195,3,0.0004
Week 47,toys for autistic children age 5-7,5,11857,262709,2715,0.0103,3824,0.3225,28,0.0073,1051,0.0886,16,0.0152,237,0.02,3,0.0127
Week 47,sensory toys for kids 5-7,6,28381,605153,2113,0.0035,8278,0.2917,16,0.0019,2635,0.0928,8,0.003,510,0.018,2,0.0039
Week 47,bunmo sensory toys,7,736,18587,901,0.0485,347,0.4715,22,0.0634,156,0.212,10,0.0641,56,0.0761,2,0.0357
Week 47,autism sensory toys,8,36593,766612,1802,0.0024,10553,0.2884,6,0.0006,3235,0.0884,5,0.0015,633,0.0173,2,0.0032
Week 47,autism toys for kids 8-12,9,9204,199014,421,0.0021,2627,0.2854,8,0.003,694,0.0754,4,0.0058,135,0.0147,3,0.0222
Week 47,oodles of noodles fidget toy,10,971,18456,756,0.041,299,0.3079,12,0.0401,101,0.104,6,0.0594,18,0.0185,1,0.0556
Week 47,down syndrome gifts for kids,11,2090,44664,686,0.0154,465,0.2225,13,0.028,92,0.044,6,0.0652,22,0.0105,1,0.0455
Week 47,autism sensory products,12,7803,168038,1492,0.0089,2138,0.274,9,0.0042,571,0.0732,6,0.0105,47,0.006,0,0
Week 47,sensory noodles,13,402,9551,238,0.0249,169,0.4204,7,0.0414,71,0.1766,6,0.0845,23,0.0572,1,0.0435
Week 47,autism,14,16689,359445,636,0.0018,3341,0.2002,7,0.0021,891,0.0534,4,0.0045,111,0.0067,1,0.009
Week 47,teeter popper,16,9130,206048,1095,0.0053,4382,0.48,4,0.0009,1585,0.1736,2,0.0013,213,0.0233,1,0.0047
Week 47,sensory toys for autistic children 5-7,17,1163,26090,376,0.0144,393,0.3379,4,0.0102,102,0.0877,2,0.0196,26,0.0224,2,0.0769
Week 47,best gifts for autistic teenager,18,3247,76842,731,0.0095,814,0.2507,6,0.0074,176,0.0542,3,0.017,34,0.0105,1,0.0294
Week 47,special needs toys for children,19,11385,185655,729,0.0039,2012,0.1767,5,0.0025,563,0.0495,3,0.0053,114,0.01,1,0.0088
Week 47,bunmo 6pk textured noodle sensory toys,20,5,187,5,0.0267,3,0.6,3,1,3,0.6,3,1,2,0.4,2,1
Week 47,sensory toys for autistic adults,21,1084,25462,627,0.0246,286,0.2638,5,0.0175,85,0.0784,3,0.0353,20,0.0185,1,0.05
Week 47,gifts for people with autism,22,413,9858,168,0.017,110,0.2663,5,0.0455,18,0.0436,2,0.1111,6,0.0145,2,0.3333
Week 47,autism chew toys sensory,23,1326,27142,433,0.016,422,0.3183,8,0.019,185,0.1395,3,0.0162,56,0.0422,1,0.0179
Week 47,disabled products for adults,24,3498,77549,280,0.0036,773,0.221,11,0.0142,182,0.052,3,0.0165,32,0.0091,1,0.0313
Week 47,toys for autistic boys,25,698,17183,101,0.0059,159,0.2278,2,0.0126,47,0.0673,2,0.0426,25,0.0358,2,0.08
Week 47,fidget toys for autistic adults,26,73,1628,31,0.019,19,0.2603,3,0.1579,5,0.0685,2,0.4,3,0.0411,2,0.6667
Week 47,string toys for toddlers 1-3,27,176,3543,30,0.0085,86,0.4886,2,0.0233,38,0.2159,2,0.0526,7,0.0398,2,0.2857
Week 47,toys for autistic boys age 5-7,28,550,12913,14,0.0011,197,0.3582,2,0.0102,44,0.08,2,0.0455,16,0.0291,2,0.125
Week 47,sensory noodles fidget stretch toys,29,71,1733,62,0.0358,34,0.4789,5,0.1471,15,0.2113,4,0.2667,6,0.0845,1,0.1667
Week 47,sensory chew toys,30,1369,28586,253,0.0089,412,0.3009,6,0.0146,168,0.1227,3,0.0179,56,0.0409,1,0.0179
Week 47,toddler fidget toys age 2-4,31,1084,22764,285,0.0125,376,0.3469,8,0.0213,140,0.1292,5,0.0357,29,0.0268,0,0
Week 47,toys for kids with autism,32,4895,104099,187,0.0018,1377,0.2813,5,0.0036,415,0.0848,3,0.0072,78,0.0159,1,0.0128
Week 47,down syndrome toys,33,1077,23691,390,0.0165,276,0.2563,6,0.0217,69,0.0641,2,0.029,16,0.0149,1,0.0625
Week 47,autism toys,34,21862,469692,961,0.002,5943,0.2718,8,0.0013,1752,0.0801,2,0.0011,308,0.0141,0,0
Week 47,sensory toy,35,4719,108117,405,0.0037,1058,0.2242,3,0.0028,299,0.0634,2,0.0067,79,0.0167,1,0.0127
Week 47,bunmo,36,525,12824,314,0.0245,204,0.3886,4,0.0196,61,0.1162,2,0.0328,20,0.0381,1,0.05
Week 47,autism sensory toys for kids 8-12,37,1483,32125,246,0.0077,407,0.2744,3,0.0074,121,0.0816,2,0.0165,24,0.0162,1,0.0417
Week 47,toys for autistic children,38,2535,56081,243,0.0043,692,0.273,3,0.0043,156,0.0615,2,0.0128,36,0.0142,1,0.0278
Week 47,fidget toys for kids 8-12,39,25253,565993,229,0.0004,8405,0.3328,3,0.0004,2626,0.104,2,0.0008,743,0.0294,1,0.0013
Week 47,autism sensory toys for autistic adults,40,810,17797,338,0.019,154,0.1901,5,0.0325,43,0.0531,4,0.093,3,0.0037,0,0
Week 47,cerebral palsy toys,41,1892,40402,630,0.0156,454,0.24,4,0.0088,123,0.065,3,0.0244,21,0.0111,0,0
Week 47,sensory toys for toddlers,42,2620,59320,551,0.0093,705,0.2691,6,0.0085,229,0.0874,3,0.0131,35,0.0134,0,0
Week 47,chuckle and roar oodles of noodles,43,183,3713,129,0.0347,53,0.2896,4,0.0755,22,0.1202,2,0.0909,3,0.0164,1,0.3333
Week 47,autistic toddler toys age 2-4,44,7966,167070,536,0.0032,2633,0.3305,5,0.0019,896,0.1125,3,0.0033,194,0.0244,0,0
Week 47,sensory processing disorder tools,45,1037,20564,148,0.0072,283,0.2729,2,0.0071,69,0.0665,2,0.029,10,0.0096,1,0.1
Week 47,oodles of noodles toy,46,177,3332,141,0.0423,32,0.1808,2,0.0625,14,0.0791,2,0.1429,1,0.0056,1,1
Week 47,spinning toys for kids with autism,47,1203,25552,128,0.005,384,0.3192,2,0.0052,127,0.1056,2,0.0157,28,0.0233,1,0.0357
Week 47,stretchy toys,48,5093,114501,535,0.0047,1566,0.3075,3,0.0019,451,0.0886,3,0.0067,91,0.0179,0,0
Week 47,stimming toys for autism kids,49,588,13227,426,0.0322,144,0.2449,5,0.0347,51,0.0867,3,0.0588,10,0.017,0,0
Week 47,sensory toys autistic children,50,345,9595,88,0.0092,111,0.3217,2,0.018,32,0.0928,2,0.0625,10,0.029,1,0.1
Week 47,bunmo sensory toys - calming textured silly stretchy strings and sensory toys for autistic children. stocking stuffers for kids 8-12 ideal autistic toys - 6 pack,51,4,240,4,0.0167,6,1.5,4,0.6667,4,1,2,0.5,2,0.5,1,0.5
Week 47,bunmo stretchy strings,52,40,826,36,0.0436,26,0.65,3,0.1154,14,0.35,2,0.1429,6,0.15,1,0.1667
Week 47,black friday sensory,53,97,1794,40,0.0223,32,0.3299,2,0.0625,11,0.1134,2,0.1818,1,0.0103,1,1
Week 47,sensory toys for autistic children 10-12,54,2561,57829,294,0.0051,664,0.2593,7,0.0105,169,0.066,3,0.0178,38,0.0148,0,0
Week 47,sensory toys for autistic children chewing,55,96,1854,28,0.0151,24,0.25,2,0.0833,12,0.125,2,0.1667,8,0.0833,1,0.125
Week 47,sticky toys for toddlers,56,50,1402,17,0.0121,14,0.28,2,0.1429,5,0.1,2,0.4,4,0.08,1,0.25
Week 47,autism calming products,57,730,15261,271,0.0178,180,0.2466,2,0.0111,36,0.0493,1,0.0278,11,0.0151,1,0.0909
Week 47,bunmo sensory,58,11,336,11,0.0327,4,0.3636,2,0.5,2,0.1818,2,1,1,0.0909,1,1
Week 47,sensory stretching toys,59,14,348,11,0.0316,10,0.7143,2,0.2,9,0.6429,2,0.2222,1,0.0714,1,1
Week 47,multi sensory toys for autistic kids,60,6,156,3,0.0192,6,1,2,0.3333,3,0.5,2,0.6667,1,0.1667,1,1
Week 47,fidget toys and textured sensory toys by bunmo,61,2,44,2,0.0455,2,1,2,1,2,1,2,1,1,0.5,1,1
Week 47,autism toys for kids 5-7,62,10522,220310,338,0.0015,2928,0.2783,4,0.0014,864,0.0821,3,0.0035,137,0.013,0,0
Week 47,fidget squishy toys,63,501,10496,85,0.0081,172,0.3433,3,0.0174,42,0.0838,1,0.0238,7,0.014,1,0.1429
Week 47,asd toys,64,589,14010,235,0.0168,162,0.275,4,0.0247,47,0.0798,3,0.0638,5,0.0085,0,0
Week 47,angelman syndrome toys,65,297,6559,128,0.0195,79,0.266,1,0.0127,18,0.0606,1,0.0556,3,0.0101,1,0.3333
Week 47,occupational therapy toys,66,7100,154493,444,0.0029,2118,0.2983,4,0.0019,745,0.1049,2,0.0027,92,0.013,0,0
